ID,T(K),Z*10^-4 reported,Resist(Ohm.cm),Seebeck(uV/K),kappaZT,,Resist(400K),Seebeck(400K),Pf(W/K^2/m),ZT,kappa(W/mK),x,Formula,series,T_Max,family,,,Conduct(S/cm),Power_Factor*T_(W/mK),preparative_route,final_form,cell_volume(A^3),formula_units_per_cell,atoms_per_formula_unit,total_atoms_per_unit_cell,average_atomic_volume,ICSD_of_structure,temp of ICSD (K),S^2,ke/ktotal,space_group,number_symmetry_elements,,
43,300,NA,0.008864209,-91.1852,0.02814038,1,0.009823585,-114.152,9.38013E-05,0.012410311,2.2675,0.04,Ca0.96Bi0.04Mn0.96Nb0.04O3,CaBiMnNbO3,NA,CaMnO3,NA,NA,112.8132212,0.02814038,solid_state_reaction,polycrystalline,206.97,4,5,20,10.3485,35218,300,8314.740699,0.036418645,62,8,,
44,400,NA,0.009823585,-114.152,0.053058753,1,0.009823585,-114.152,0.000132647,0.024563669,2.16005,0.04,Ca0.96Bi0.04Mn0.96Nb0.04O3,CaBiMnNbO3,NA,CaMnO3,NA,NA,101.7958329,0.053058753,solid_state_reaction,polycrystalline,206.97,4,5,20,10.3485,35218,300,13030.6791,0.045995571,62,8,,
45,700,NA,0.012502015,-164.082,0.150743961,1,0.009823585,-114.152,0.000215349,0.080246985,1.8785,0.04,Ca0.96Bi0.04Mn0.96Nb0.04O3,CaBiMnNbO3,NA,CaMnO3,NA,NA,79.98710896,0.150743961,solid_state_reaction,polycrystalline,206.97,4,5,20,10.3485,35218,300,26922.90272,0.072727166,62,8,,
46,1000,NA,0.014545545,-172.301,0.204101218,1,0.009823585,-114.152,0.000204101,0.120991889,1.6869,0.1,Ca0.9Bi0.1Mn0.9Nb0.1O3,CaBiMnNbO3,NA,CaMnO3,NA,NA,68.74957219,0.204101218,solid_state_reaction,polycrystalline,206.97,4,5,20,10.3485,35218,300,29687.6346,0.099442146,62,8,,
47,300,NA,0.007325377,-72.2292,0.021365687,1,0.007257717,-72.4358,7.1219E-05,NA,NA,0.1,Ca0.9Bi0.1Mn0.9Nb0.1O3,CaBiMnNbO3,NA,CaMnO3,NA,NA,136.5117393,0.021365687,solid_state_reaction,polycrystalline,206.97,4,5,20,10.3485,35218,300,5217.057333,NA,62,8,,
48,400,NA,0.007257717,-72.4358,0.028917884,1,0.007257717,-72.4358,7.22947E-05,NA,NA,0.1,Ca0.9Bi0.1Mn0.9Nb0.1O3,CaBiMnNbO3,NA,CaMnO3,NA,NA,137.7843843,0.028917884,solid_state_reaction,polycrystalline,206.97,4,5,20,10.3485,35218,300,5246.945122,NA,62,8,,
49,700,NA,0.007633259,-80.6522,0.059651377,1,0.007257717,-72.4358,8.52163E-05,NA,NA,0.1,Ca0.9Bi0.1Mn0.9Nb0.1O3,CaBiMnNbO3,NA,CaMnO3,NA,NA,131.0056421,0.059651377,solid_state_reaction,polycrystalline,206.97,4,5,20,10.3485,35218,300,6504.777365,NA,62,8,,
50,1000,NA,0.008303286,-92.6656,0.103415845,1,0.007257717,-72.4358,0.000103416,NA,NA,0.1,Ca0.9Bi0.1Mn0.9Nb0.1O3,CaBiMnNbO3,NA,CaMnO3,NA,NA,120.4342466,0.103415845,solid_state_reaction,polycrystalline,206.97,4,5,20,10.3485,35218,300,8586.913423,NA,62,8,,
51,300,NA,0.02,-180,0.0486,1,0.0215409,-203.876,0.000162,0.01944,2.5,0.02,CaMn0.98Nb0.02O3,CaMnNbO3,NA,CaMnO3,NA,NA,50,0.0486,ultrasonic_spray_pyrolysis,polycrystalline,208.21,4,5,20,10.4105,166044,298,32400,0.01464,62,8,,
52,400,NA,0.0215409,-203.876,0.077184191,1,0.0215409,-203.876,0.00019296,0.03719487,2.07513,0.02,CaMn0.98Nb0.02O3,CaMnNbO3,NA,CaMnO3,NA,NA,46.42331565,0.077184191,ultrasonic_spray_pyrolysis,polycrystalline,208.21,4,5,20,10.4105,166044,298,41565.42338,0.02183437,62,8,,
53,700,NA,0.028358,-234.574,0.135825774,1,0.0215409,-203.876,0.000194037,0.083293437,1.63069,0.02,CaMn0.98Nb0.02O3,CaMnNbO3,NA,CaMnO3,NA,NA,35.26341773,0.135825774,ultrasonic_spray_pyrolysis,polycrystalline,208.21,4,5,20,10.4105,166044,298,55024.96148,0.036935234,62,8,,
54,1000,NA,0.0308794,-248.217,0.199523563,1,0.0215409,-203.876,0.000199524,0.144503757,1.38075,0.02,CaMn0.98Nb0.02O3,CaMnNbO3,NA,CaMnO3,NA,NA,32.38404891,0.199523563,ultrasonic_spray_pyrolysis,polycrystalline,208.21,4,5,20,10.4105,166044,298,61611.67909,0.057227651,62,8,,
55,400,NA,0.0183658,-153.655,0.051421357,1,0.0183658,-153.655,0.000128553,NA,NA,0.02,CaMn0.98Ru0.02O3,CaMnRuO3,NA,CaMnO3,NA,NA,54.44903026,0.051421357,solid_state_reaction,polycrystalline,208.21,4,5,20,10.4105,166044,298,23609.85903,NA,62,8,,
56,700,NA,0.0241829,-195.784,0.110954279,1,0.0183658,-153.655,0.000158506,NA,NA,0.02,CaMn0.98Ru0.02O3,CaMnRuO3,NA,CaMnO3,NA,NA,41.35153352,0.110954279,solid_state_reaction,polycrystalline,208.21,4,5,20,10.4105,166044,298,38331.37466,NA,62,8,,
57,1000,NA,0.0279999,-213.722,0.163133059,1,0.0183658,-153.655,0.000163133,NA,NA,0.02,CaMn0.98Ru0.02O3,CaMnRuO3,NA,CaMnO3,NA,NA,35.71441327,0.163133059,solid_state_reaction,polycrystalline,208.21,4,5,20,10.4105,166044,298,45677.09328,NA,62,8,,
58,400,NA,0.00752127,-119.985,0.076563667,1,0.00752127,-119.985,0.000191409,0.020374273,3.75786,0.04,CaMn0.96Ru0.04O3,CaMnRuO3,NA,CaMnO3,NA,NA,132.9562694,0.076563667,solid_state_reaction,polycrystalline,208.21,4,5,20,10.4105,166044,298,14396.40023,0.034531707,62,8,,
59,700,NA,0.0101835,-137.217,0.129424594,1,0.00752127,-119.985,0.000184892,0.039949192,3.23973,0.04,CaMn0.96Ru0.04O3,CaMnRuO3,NA,CaMnO3,NA,NA,98.1980655,0.129424594,solid_state_reaction,polycrystalline,208.21,4,5,20,10.4105,166044,298,18828.50509,0.051770455,62,8,,
