T (K),Z*10^-4 reported,Resist. (Ohm.cm),Seebeck (uV/K),kappaZT,,Resist. (400K),Seebeck (400K),Pf (W/K^2/m),ZT,kappa (W/mK),x,Formula,series,T Max,family,,,Conduct. (S/cm),,Power Factor*T (W/mK),preparative route,final form,Authors,DOI,Comments,Comments,Cell Volume (A^3),Formula Units per Cell,Atoms per formula unit,total atoms per unit cell,average atomic volume,Author of Unit Cell,Unit Cell DOI,ICSD of structure,temp of ICSD (K),S^2,ke/ktotal,space group,# symmetry elements,,
1000,,0.110571194,-406.81,1.4967E-01,1,2.925075,-549.12,1.4967E-04,0.089158798,1.67874,0,CaMnO3,Ca1-xBixMn1-yNbyO3,,CaMnO3,,,9.0439E+00,,1.4967E-01,Solid state reaction,polycrystalline,Park2009JAC,http://dx.doi.org/10.1016/j.jallcom.2009.08.012,x=y,Extrapolated from 972 K,206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,300,1.6550E+05,0.013145115,62,8,,
300,,0.02032591,-100.04,1.4770E-02,1,0.021537,-119.21,4.9234E-05,0.005877928,2.51281,0.02,Ca0.98Bi0.02Mn0.98Nb0.02O3,Ca1-xBixMn1-yNbyO3,,CaMnO3,,,4.9198E+01,,1.4770E-02,Solid state reaction,polycrystalline,Park2009JAC,http://dx.doi.org/10.1016/j.jallcom.2009.08.012,x=y,Extrapolated from 325 K,206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,300,1.0007E+04,0.014331823,62,8,,
400,,0.021537238,-119.21,2.6392E-02,1,0.021537,-119.21,6.5979E-05,0.011603063,2.27454,0.02,Ca0.98Bi0.02Mn0.98Nb0.02O3,Ca1-xBixMn1-yNbyO3,,CaMnO3,,,4.6431E+01,,2.6392E-02,Solid state reaction,polycrystalline,Park2009JAC,http://dx.doi.org/10.1016/j.jallcom.2009.08.012,x=y,,206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,300,1.4210E+04,0.019923528,62,8,,
700,,0.025914331,-184.31,9.1756E-02,1,0.021537,-119.21,1.3108E-04,0.048845628,1.87848,0.02,Ca0.98Bi0.02Mn0.98Nb0.02O3,Ca1-xBixMn1-yNbyO3,,CaMnO3,,,3.8589E+01,,9.1756E-02,Solid state reaction,polycrystalline,Park2009JAC,http://dx.doi.org/10.1016/j.jallcom.2009.08.012,x=y,,206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,300,3.3968E+04,0.0350866,62,8,,
1000,,0.026637901,-205.16,1.5802E-01,1,0.021537,-119.21,1.5802E-04,0.091024352,1.73598,0.02,Ca0.98Bi0.02Mn0.98Nb0.02O3,Ca1-xBixMn1-yNbyO3,,CaMnO3,,,3.7540E+01,,1.5802E-01,Solid state reaction,polycrystalline,Park2009JAC,http://dx.doi.org/10.1016/j.jallcom.2009.08.012,x=y,Extrapolated from 972 K,206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,300,4.2092E+04,0.052764899,62,8,,
300,,0.008864209,-91.19,2.8140E-02,1,0.009824,-114.15,9.3801E-05,0.012410311,2.2675,0.04,Ca0.96Bi0.04Mn0.96Nb0.04O3,Ca1-xBixMn1-yNbyO3,,CaMnO3,,,1.1281E+02,,2.8140E-02,Solid state reaction,polycrystalline,Park2009JAC,http://dx.doi.org/10.1016/j.jallcom.2009.08.012,x=y,Extrapolated from 325 K,206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,300,8.3147E+03,0.036418645,62,8,,
400,,0.009823585,-114.15,5.3059E-02,1,0.009824,-114.15,1.3265E-04,0.024563669,2.16005,0.04,Ca0.96Bi0.04Mn0.96Nb0.04O3,Ca1-xBixMn1-yNbyO3,,CaMnO3,,,1.0180E+02,,5.3059E-02,Solid state reaction,polycrystalline,Park2009JAC,http://dx.doi.org/10.1016/j.jallcom.2009.08.012,x=y,,206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,300,1.3031E+04,0.045995571,62,8,,
700,,0.012502015,-164.08,1.5074E-01,1,0.009824,-114.15,2.1535E-04,0.080246985,1.8785,0.04,Ca0.96Bi0.04Mn0.96Nb0.04O3,Ca1-xBixMn1-yNbyO3,,CaMnO3,,,7.9987E+01,,1.5074E-01,Solid state reaction,polycrystalline,Park2009JAC,http://dx.doi.org/10.1016/j.jallcom.2009.08.012,x=y,,206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,300,2.6923E+04,0.072727166,62,8,,
1000,,0.014545545,-172.30,2.0410E-01,1,0.009824,-114.15,2.0410E-04,0.120991889,1.6869,0.1,Ca0.9Bi0.1Mn0.9Nb0.1O3,Ca1-xBixMn1-yNbyO3,,CaMnO3,,,6.8750E+01,,2.0410E-01,Solid state reaction,polycrystalline,Park2009JAC,http://dx.doi.org/10.1016/j.jallcom.2009.08.012,x=y,Extrapolated from 972 K,206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,300,2.9688E+04,0.099442146,62,8,,
300,,0.007325377,-72.23,2.1366E-02,1,0.007258,-72.44,7.1219E-05,,,0.1,Ca0.9Bi0.1Mn0.9Nb0.1O3,Ca1-xBixMn1-yNbyO3,,CaMnO3,,,1.3651E+02,,2.1366E-02,Solid state reaction,polycrystalline,Park2009JAC,http://dx.doi.org/10.1016/j.jallcom.2009.08.012,x=y,Extrapolated from 325 K,206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,300,5.2171E+03,,62,8,,
